13.94	316.9124	en_4156
316.9124	616.54	en_4170
616.54	918.82	en_4183
918.82	1218.805039	en_4404
1218.805039	1521.384009	en_4574
1521.384009	1821.206247	en_4616
1821.206247	2123.013333	en_4622
2123.013333	2423.386917	en_4852
2423.386917	2732.582046	en_4910
2732.582046	3037.200999	en_4938
3037.200999	3337.519449	en_4966
3337.519449	3638.058437	en_5011
3638.058437	3940.416869	en_5017
3940.416869	4246.524458	en_6183
4246.524458	4555.057971	en_6189
4555.057971	4862.985003	en_6267
4862.985003	5162.752106	en_6282
5162.752106	5465.827288	en_6489
5465.827288	5771.162992	en_6658
5771.162992	6071.205768	en_6912
6071.205768	6368.494	sw_4390
6368.494	6667.542165	sw_4484
6667.542165	6964.773074	sw_4507
6964.773074	7261.976416	sw_4520
7261.976416	7551.405772	sw_4537
7551.405772	7850.704231	sw_4543
7850.704231	8150.250796	sw_4547
8150.250796	8448.36386	sw_4560
8448.36386	8747.02827	sw_4577
8747.02827	9046.326729	sw_4580
9046.326729	9346.672746	sw_4601
9346.672746	9645.254454	sw_4604
9645.254454	9942.981576	sw_4683
9942.981576	10241.756255	sw_4686
10241.756255	10541.71633	sw_4689
10541.71633	10840.325606	sw_4694
10840.325606	11140.065142	sw_4776
11140.065142	11439.611706	sw_4824
11439.611706	11738.717194	sw_4854
11738.717194	12038.346461	sw_4910
