9.200000	312.172400	en_4156
312.172400	611.800000	en_4170
611.800000	914.080000	en_4183
914.080000	1214.065039	en_4404
1214.065039	1516.644009	en_4574
1516.644009	1816.466247	en_4616
1816.466247	2118.273333	en_4622
2118.273333	2418.646917	en_4852
2418.646917	2727.842046	en_4910
2727.842046	3032.460999	en_4938
3032.460999	3332.779449	en_4966
3332.779449	3633.318437	en_5011
3633.318437	3935.676869	en_5017
3935.676869	4241.784458	en_6183
4241.784458	4550.317971	en_6189
4550.317971	4858.245003	en_6267
4858.245003	5158.012106	en_6282
5158.012106	5461.087288	en_6489
5461.087288	5766.422992	en_6658
5766.422992	6066.465768	en_6912
6066.465768	6363.754000	sw_4390
6363.754000	6662.802165	sw_4484
6662.802165	6960.033074	sw_4507
6960.033074	7257.236416	sw_4520
7257.236416	7546.665772	sw_4537
7546.665772	7845.964231	sw_4543
7845.964231	8145.510796	sw_4547
8145.510796	8443.623860	sw_4560
8443.623860	8742.288270	sw_4577
8742.288270	9041.586729	sw_4580
9041.586729	9341.932746	sw_4601
9341.932746	9640.514454	sw_4604
9640.514454	9938.241576	sw_4683
9938.241576	10237.016255	sw_4686
10237.016255	10536.976330	sw_4689
10536.976330	10835.585606	sw_4694
10835.585606	11135.325142	sw_4776
11135.325142	11434.871706	sw_4824
11434.871706	11733.977194	sw_4854
11733.977194	12033.606461	sw_4910
